Bill_id,Bill_description,topic_name,classification,qa_review,qa_notes
SB12,"Issuing citations; certain traffic offenses and odor of marijuana, exclusion of evidence.",Alcoholic Beverage and Cannabis Control,Official LIS subject,,
HJ1,Constitutional amendment (second reference); fundamental right to reproductive freedom.,Constitutional Amendments,Official LIS subject,,
SB2,"Paid family & med. leave insurance program; definitions, notice requirements, civil action, report.","Study Commissions, Committees, and Reports",Official LIS subject,,
SB464,Interest in agricultural land; amends definition of foreign adversaries.,Agriculture and Food,Derived from LIS bill description,,
HB747,Chesapeake Bay Watershed Implementation Plan; consolidation of agricultural  commitments.,Agriculture and Food,Derived from LIS bill description,,
SB152,Bicentennial farm program; State Forester to establish and administer.,Agriculture and Food,Derived from LIS bill description,,
HR18,Commending the Brentsville Future Farmers of America.,Agriculture and Food,Derived from LIS bill description,,
HB761,Fertilizer and lime; amends provisions governing permit requirements.,Agriculture and Food,Derived from LIS bill description,,
SB742,Removal of clutter; cutting of grass; agricultural use exemption; Planning District 19.,Agriculture and Food,Derived from LIS bill description,,
HJ79,Commending the Virginia Farm Bureau Federation.,Agriculture and Food,Derived from LIS bill description,,
HB699,Food establishment inspection exemptions; private homes and farms.,Agriculture and Food,Derived from LIS bill description,,
HB509,"Zoning; agricultural operations, rental of accessory dwellings.",Agriculture and Food,Derived from LIS bill description,,
HB859,Farm to School Program Task Force; membership requirements.,Agriculture and Food,Derived from LIS bill description,,
SB788,"Alcoholic beverage control; payment of excise tax on beer, wine coolers, and wine, penalties.",Alcoholic Beverage and Cannabis Control,Derived from LIS bill description,,
SB698,Alcoholic beverage control; designated outdoor refreshment areas.,Alcoholic Beverage and Cannabis Control,Derived from LIS bill description,,
HB384,"Alcoholic beverage control; advertising materials, purchase and display of barrels.",Alcoholic Beverage and Cannabis Control,Derived from LIS bill description,,
SB614,"Alcoholic beverage control; advertising materials, purchase and display of barrels.",Alcoholic Beverage and Cannabis Control,Derived from LIS bill description,,
HB980,"Alcoholic beverage control; voluntary no-buy program, etc.",Alcoholic Beverage and Cannabis Control,Derived from LIS bill description,,
HB741,Alcoholic beverage control; retail licenses for public golf courses.,Alcoholic Beverage and Cannabis Control,Derived from LIS bill description,,
HB385,"Alcoholic beverage control; operation of government stores, tastings.",Alcoholic Beverage and Cannabis Control,Derived from LIS bill description,,
SB809,"Alcoholic beverage control; manufacturer license, small commercial winery, sale at events.",Alcoholic Beverage and Cannabis Control,Derived from LIS bill description,,
HB975,"Alcoholic beverage control; food-to-beverage ratio, report.",Alcoholic Beverage and Cannabis Control,Derived from LIS bill description,,
SB532,"Alcoholic beverage control; banquet license, municipality or nonprofit organization.",Alcoholic Beverage and Cannabis Control,Derived from LIS bill description,,
SB718,Virginia National Guard; power of Governor to summon in certain circumstances.,Armed Forces,Derived from LIS bill description,,
SB600,Virginia National Guard; nonjudicial disciplinary proceedings.,Armed Forces,Derived from LIS bill description,,
HB94,Vehicle registration fees; disabled veterans.,Armed Forces,Derived from LIS bill description,,
SB571,"Disabled Veterans Family Passport; established, free entry into state parks and discounted services.",Armed Forces,Derived from LIS bill description,,
HB776,Virginia National Guard; biennial training.,Armed Forces,Derived from LIS bill description,,
HB286,"Virginia National Guard; orders transmitted to and through Governor, annual reports.",Armed Forces,Derived from LIS bill description,,
HB175,"Real property; tax exemption, surviving spouses of members of Armed Forces who died in line of duty.",Armed Forces,Derived from LIS bill description,,
SB787,Virginia National Guard TRICARE Reimbursement Fund; established.,Armed Forces,Derived from LIS bill description,,
HB731,Toll facilities; free use to certain disabled veterans.,Armed Forces,Derived from LIS bill description,,
SB337,"Virginia National Guard; reports to General Assembly, state militias, etc.",Armed Forces,Derived from LIS bill description,,
SB599,Va. Opioid Use Red. & Jail-Based Substance Use Disorder Trtmt. and Transition Fund; grant procedure.,Behavioral Health,Derived from LIS bill description,,
SB706,"Opioid antagonist; distribution program, reports.",Behavioral Health,Derived from LIS bill description,,
HB240,"Admission to bail; fixing terms of bail, mental health considerations.",Behavioral Health,Derived from LIS bill description,,
HB495,School boards; mental health awareness training for full-time school bus drivers.,Behavioral Health,Derived from LIS bill description,,
SB421,Pharmacist; remote verification and counseling in opioid treatment programs.,Behavioral Health,Derived from LIS bill description,,
SB259,"Early Childhood Mental Health Consultation Program; established, development of modules, report.",Behavioral Health,Derived from LIS bill description,,
HB248,Interjurisdictional law-enforcement agreements; development of behavioral health co-response teams.,Behavioral Health,Derived from LIS bill description,,
SB269,"Mental health service providers;  definitions, use of artificial intelligence system, civil penalty.",Behavioral Health,Derived from LIS bill description,,
SB173,Weapons; possession prohibited in hospital that provides mental health or developmental services.,Behavioral Health,Derived from LIS bill description,,
HB529,"Suicide Prevention Program; created, deaths by suicide of veterans or military service members.",Behavioral Health,Derived from LIS bill description,,
HB29,Budget Bill.,Budget and Appropriations,Derived from LIS bill description,,
HB30,Budget Bill.,Budget and Appropriations,Derived from LIS bill description,,
SB705,"Regulatory Budget Program; established, report.",Budget and Appropriations,Derived from LIS bill description,,
HB242,Public utilities; budget plan payment increases.,Budget and Appropriations,Derived from LIS bill description,,
SB30,Budget Bill.,Budget and Appropriations,Derived from LIS bill description,,
SB29,Budget Bill.,Budget and Appropriations,Derived from LIS bill description,,
SB733,Local government; appropriation of local school funds to families for compulsory student attendance.,Budget and Appropriations,Derived from LIS bill description,,
HB777,Va. Public Procurement Act; procurement of goods transported by privately owned commercial vessels.,Business and Commerce,Derived from LIS bill description,,
SB575,"Virginia Public Procurement Act; joint and cooperative procurement, construction exception.",Business and Commerce,Derived from LIS bill description,,
SB782,Corporations; limited liability decentralized autonomous organizations (LLDs).,Business and Commerce,Derived from LIS bill description,,
SB493,"Consumer protection; automatic renewal or continuous service offers, disclosure and cancellation.",Business and Commerce,Derived from LIS bill description,,
HB842,"Virginia Public Procurement Act; definition of ""small business,"" direct procurement, set-asides.",Business and Commerce,Derived from LIS bill description,,
HR186,Commending the Mount Vernon Springfield Chamber of Commerce Small Business of the Year honorees.,Business and Commerce,Derived from LIS bill description,,
HR185,Commending the Mount Vernon Springfield Chamber of Commerce Mid-Size Business of the Year honorees.,Business and Commerce,Derived from LIS bill description,,
HJ291,Commending the Danville Pittsylvania Chamber of Commerce.,Business and Commerce,Derived from LIS bill description,,
SB177,"Va. Consumer Protection Act; prohibited practices, consumer reproductive/sexual health information.",Business and Commerce,Derived from LIS bill description,,
HB869,Virginia Public Procurement Act; purchase programs for local farm or food products.,Business and Commerce,Derived from LIS bill description,,
SJ57,Commending the Glenvar High School boys' soccer team.,Commendations and Commemorations,Derived from LIS bill description,,
HR221,Commending Rondell Norfleet.,Commendations and Commemorations,Derived from LIS bill description,,
SJ86,Celebrating the life of Thomas Blue.,Commendations and Commemorations,Derived from LIS bill description,,
HR353,Commending FeLynn Oriental Restaurant.,Commendations and Commemorations,Derived from LIS bill description,,
HR147,Commending the Orange Heart Medal Foundation.,Commendations and Commemorations,Derived from LIS bill description,,
SR45,"Commending Envision Lead Grow, Inc.",Commendations and Commemorations,Derived from LIS bill description,,
HJ258,"Celebrating the life of Donald MacLean Switz, M.D.",Commendations and Commemorations,Derived from LIS bill description,,
SJ113,Celebrating the life of Sincere B. Allah.,Commendations and Commemorations,Derived from LIS bill description,,
HR65,Commending Jennifer Ney.,Commendations and Commemorations,Derived from LIS bill description,,
HR198,Celebrating the life of Bruce Jones.,Commendations and Commemorations,Derived from LIS bill description,,
SB769,"Constitutional amendment; gen. approp. act, reapportionment, redistricting congressional districts.",Constitutional Amendments,Derived from LIS bill description,,
HB781,Constitutional amendment; fundamental right to reproductive freedom(submitting to qualified voters).,Constitutional Amendments,Derived from LIS bill description,,
HR5,Right to reproductive freedom; legal effects & consequences of a constitutional amendment.,Constitutional Amendments,Derived from LIS bill description,,
HB612,"Constitutional amendment; marriage between two adult persons, repeal of same-sex marriage prohibition.",Constitutional Amendments,Derived from LIS bill description,,
SJ27,"Constitutional amendment; qualifications of voters, United States citizenship (first reference).",Constitutional Amendments,Derived from LIS bill description,,
HB963,"Constitutional amendment; qualifications of voters, right to vote, persons not entitled to vote.",Constitutional Amendments,Derived from LIS bill description,,
HJ45,"Constitutional amendment; qualifications of voters, 16-year-olds permitted to vote.",Constitutional Amendments,Derived from LIS bill description,,
HJ14,"Constitutional amendment; tax exemption for motor vehicles owned for personal, noncommercial use.",Constitutional Amendments,Derived from LIS bill description,,
SB449,Constitutional amendment; fundamental right to reproductive freedom(submitting to qualified voters).,Constitutional Amendments,Derived from LIS bill description,,
HJ314,"Election of Circuit Court Judges, General District Court Judges, and Juvenile and Domestic Relations District Court Judges.",Courts and Civil Law,Derived from LIS bill description,,
SB725,"Circuit court clerks; fees, allocation of Technology Trust Fund Fee.",Courts and Civil Law,Derived from LIS bill description,,
SB793,"Court of Appeals of Virginia; increases maximum number of judges, hearings en banc.",Courts and Civil Law,Derived from LIS bill description,,
HB669,"Impersonation of certain licensed professionals by chatbot; definitions, notice, civil liability.",Courts and Civil Law,Derived from LIS bill description,,
SB753,"Unauthorized use of voice or likeness; punitive damages, statute of limitations.",Courts and Civil Law,Derived from LIS bill description,,
HB293,"Corporations; limited liability decentralized autonomous orgs. (LLDs), delayed effective date.",Courts and Civil Law,Derived from LIS bill description,,
HB872,"Portable electronic devices; possession in district or circuit court, policies set by chief judge.",Courts and Civil Law,Derived from LIS bill description,,
SR14,Judges; nominations for election to general district court.,Courts and Civil Law,Derived from LIS bill description,,
HB194,Judges; maximum number of judges in each judicial district.,Courts and Civil Law,Derived from LIS bill description,,
SB228,"Localities; liability insurance, certain waiver of sovereign immunity.",Courts and Civil Law,Derived from LIS bill description,,
SB634,"Petition for modification of a sentence; eligibility, procedures, report.",Criminal Justice,Derived from LIS bill description,,
HB16,Community service work in lieu of payment of fines and costs; work performed while incarcerated.,Criminal Justice,Derived from LIS bill description,,
SB444,Offenses relating to gift cards; penalties.,Criminal Justice,Derived from LIS bill description,,
HB268,"Fines and costs; period of limitations on collection, deferred payment agreement.",Criminal Justice,Derived from LIS bill description,,
HB157,Real Estate Board; an applicant for new real estate license to certify criminal history info.,Criminal Justice,Derived from LIS bill description,,
SB95,Rest area signage; adds human trafficking information.,Criminal Justice,Derived from LIS bill description,,
HB126,"Local, regional, and community correctional facilities; access to counsel for inmates.",Criminal Justice,Derived from LIS bill description,,
HB245,"Jurisdiction of district courts in felony cases; specialty dockets, Behavioral Health Docket Act.",Criminal Justice,Derived from LIS bill description,,
HB43,"Suicide; abolishes common-law crime, delayed effective date, report.",Criminal Justice,Derived from LIS bill description,,
SB329,"Va. Sexual & Domestic Violence Victim fund; fee for offenses related to solicitation of minors, etc.",Criminal Justice,Derived from LIS bill description,,
HB591,Data centers; policy of the Commonwealth.,Data Centers,Derived from LIS bill description,,
HB897,"Retail Sales and Use Tax; exemption for data centers, delayed effective date.",Data Centers,Derived from LIS bill description,,
HB607,"Aggregate air pollution; Department of Environmental Quality to study, data center generators.",Data Centers,Derived from LIS bill description,,
SB465,Retail Sales and Use Tax; exemption for data centers.,Data Centers,Derived from LIS bill description,,
HB153,"Data centers; site assessment, sound profile of the high energy use facility.",Data Centers,Derived from LIS bill description,,
HB784,"RS and UT; commercial and industrial exemptions, disclosure of data center operator exemption.",Data Centers,Derived from LIS bill description,,
SB94,"Data centers; site assessment, sound profile of the high energy use facility.",Data Centers,Derived from LIS bill description,,
SB130,"Data centers; site assessment, definition of high energy use facility.",Data Centers,Derived from LIS bill description,,
HB824,"Data centers; energy generation and storage, report.",Data Centers,Derived from LIS bill description,,
SB552,"Siting of large data centers; site assessment, standards, civil penalties.",Data Centers,Derived from LIS bill description,,
HB800,Active Pharmaceutical Ingredient Manufacturing Grant Fund; established.,Economic Development,Derived from LIS bill description,,
SB611,Economic development incentives; wage requirements.,Economic Development,Derived from LIS bill description,,
HB799,Power Transformer Manufacturing Grant Fund; created.,Economic Development,Derived from LIS bill description,,
SB836,Transformer Manufacturing Expansion Grant Fund; created.,Economic Development,Derived from LIS bill description,,
SB403,Power Transformer Manufacturing Grant Fund; created.,Economic Development,Derived from LIS bill description,,
SB527,Pharmaceutical Substance Manufacturing Grant Fund; created.,Economic Development,Derived from LIS bill description,,
SB404,Active Pharmaceutical Ingredient Manufacturing Grant Fund; established.,Economic Development,Derived from LIS bill description,,
SB835,Solid Rocket Motor Manufacturing Grant Fund; created.,Economic Development,Derived from LIS bill description,,
HB705,Health Ed. SOL & Curriculum Framework; Board of Education to include water safety instruction.,Education,Derived from LIS bill description,,
HB471,"Higher ed. institutions, public; financial aid for students with intellectual disabilities, etc.",Education,Derived from LIS bill description,,
HB139,School board policies; unpaid educational leave for certain employee association officers.,Education,Derived from LIS bill description,,
HB786,School bds.; authority to prohibit sale of caffeinated beverages to students in public high schools.,Education,Derived from LIS bill description,,
HR427,Commending the James River High School girls' swim and dive team.,Education,Derived from LIS bill description,,
HR58,Commending Lafayette Elementary School.,Education,Derived from LIS bill description,,
SB733,Local government; appropriation of local school funds to families for compulsory student attendance.,Education,Derived from LIS bill description,,
SR48,Commending Stanleytown Elementary School.,Education,Derived from LIS bill description,,
HR315,Commending the Lake Taylor High School football team.,Education,Derived from LIS bill description,,
SJ34,Commending the Auburn High School baseball team.,Education,Derived from LIS bill description,,
HB51,Elections; time of certain local elections.,Elections and Voting,Derived from LIS bill description,,
SB526,"Elections; affirmation statement in lieu of identification, additional information required.",Elections and Voting,Derived from LIS bill description,,
HB113,"Elections; soliciting or accepting bribe to influence or procure voter registration, penalty.",Elections and Voting,Derived from LIS bill description,,
HB23,"Elections; primary dates, presidential year primaries.",Elections and Voting,Derived from LIS bill description,,
HB968,"Election results; counting machine-readable ballots, processing absentee ballots.",Elections and Voting,Derived from LIS bill description,,
SB449,Constitutional amendment; fundamental right to reproductive freedom(submitting to qualified voters).,Elections and Voting,Derived from LIS bill description,,
HB835,"Elections; candidates and elected officials, confidentiality of personally identifiable information.",Elections and Voting,Derived from LIS bill description,,
HB187,"Virginia Beach, City of; amending charter, transition to a city council, voting districts.",Elections and Voting,Derived from LIS bill description,,
SB632,"Elections; candidates and elected officials, confidentiality of personally identifiable information.",Elections and Voting,Derived from LIS bill description,,
SB533,"Elections; absentee voting in person, uniform availability.",Elections and Voting,Derived from LIS bill description,,
SB249,"Electric utilities; definitions, integrated resource plans, report.",Energy and Utilities,Derived from LIS bill description,,
HB429,"Electric utilities; definitions, integrated resource plans, report.",Energy and Utilities,Derived from LIS bill description,,
SB700,Large-Scale Electricity Consumer Infrastructure Impact Fund; created.,Energy and Utilities,Derived from LIS bill description,,
SB94,"Data centers; site assessment, sound profile of the high energy use facility.",Energy and Utilities,Derived from LIS bill description,,
SB458,Electric utilities; regional energy market.,Energy and Utilities,Derived from LIS bill description,,
SB253,Electric utilities; pilot programs for energy assistance and weatherization for certain individuals.,Energy and Utilities,Derived from LIS bill description,,
HB628,"Renewable energy portfolio standard program; requirements, power purchase agreements.",Energy and Utilities,Derived from LIS bill description,,
HB899,"Small renewable energy projects; agrivoltaics definition, advisory panel.",Energy and Utilities,Derived from LIS bill description,,
SB751,Utility Facilities Act; definition of public utility.,Energy and Utilities,Derived from LIS bill description,,
HB824,"Data centers; energy generation and storage, report.",Energy and Utilities,Derived from LIS bill description,,
SB256,Appliance minimum energy and water conservation standards; requirement of manufacturers.,Environment and Conservation,Derived from LIS bill description,,
HB607,"Aggregate air pollution; Department of Environmental Quality to study, data center generators.",Environment and Conservation,Derived from LIS bill description,,
HB521,"Marine Resources Commission; powers and duties, impacts on wetlands, report.",Environment and Conservation,Derived from LIS bill description,,
SB327,"Electric utilities; pilot program for electric energy conservation, solar energy generation.",Environment and Conservation,Derived from LIS bill description,,
HB377,"Uniform Statewide Building Code; amendments, energy efficiency and conservation.",Environment and Conservation,Derived from LIS bill description,,
SB814,"Conservation easement owners, certain; DCR to report demographic information.",Environment and Conservation,Derived from LIS bill description,,
HB914,Local Environmental Impact Fund; created.,Environment and Conservation,Derived from LIS bill description,,
SB393,"Virginia's Great Outdoors Act; established, creates data center land conservation tax.",Environment and Conservation,Derived from LIS bill description,,
SB422,Virginia Conservation Easement Act; definition of federally recognized tribe.,Environment and Conservation,Derived from LIS bill description,,
HB500,New state park; Dept. of Conservation & Recreation to acquire prop. to establish in Loudoun County.,Environment and Conservation,Derived from LIS bill description,,
SB348,"Firearms; storage in residence where minor or person prohibited from possessing is present, penalty.",Family and Children,Derived from LIS bill description,,
SB640,"Child abuse or neglect; centralized hotline for reports or complaints, etc.",Family and Children,Derived from LIS bill description,,
HB18,"Employee Child Care Assistance Program; established, reports.",Family and Children,Derived from LIS bill description,,
SB655,"Fentanyl; possession in presence of minor prohibited, enhanced penalty.",Family and Children,Derived from LIS bill description,,
HB191,Victims of sex trafficking; immunity for minors to arrest or prosecution for prostitution.,Family and Children,Derived from LIS bill description,,
SB305,"Kinship foster care; barrier crime waiver, report.",Family and Children,Derived from LIS bill description,,
HB440,Driver's licenses; repeals suspension for nonpayment of child support and unsatisfied judgments.,Family and Children,Derived from LIS bill description,,
HB280,Comprehensive children's health care coverage program; DMAS Services to establish.,Family and Children,Derived from LIS bill description,,
HB664,Adult adoptee access to original birth certificate; contact preference form.,Family and Children,Derived from LIS bill description,,
SB778,Display of obscene material to a minor unlawful; penalty.,Family and Children,Derived from LIS bill description,,
HB827,Financial institutions; loans and legal rate of interest.,Financial Institutions and Services,Derived from LIS bill description,,
SB489,"Financial institutions and services; virtual currency kiosk operators, license required, penalties.",Financial Institutions and Services,Derived from LIS bill description,,
HB665,"Financial institutions and services; virtual currency kiosk operators, license required, penalties.",Financial Institutions and Services,Derived from LIS bill description,,
SB774,"Financial institutions; processing fee on taxes prohibited, civil penalty.",Financial Institutions and Services,Derived from LIS bill description,,
HB902,Financial institutions; out-of-state credit unions.,Financial Institutions and Services,Derived from LIS bill description,,
SB478,Financial institutions; loans and legal rate of interest.,Financial Institutions and Services,Derived from LIS bill description,,
SB432,Financial institutions; loans and legal rate of interest.,Financial Institutions and Services,Derived from LIS bill description,,
SB734,Financial institutions; officers and directors.,Financial Institutions and Services,Derived from LIS bill description,,
HB540,Carrying firearms in restricted locations; exception.,Firearms,Derived from LIS bill description,,
SB727,"Assault firearms; carrying in public areas prohibited, exceptions, penalty.",Firearms,Derived from LIS bill description,,
SB763,"Retail Sales and Use Tax; definitions, imposes firearm and ammunition tax.",Firearms,Derived from LIS bill description,,
SB723,Concealed handgun; carrying without a permit.,Firearms,Derived from LIS bill description,,
HB692,Concealed handgun permit; lowers fee for processing an application.,Firearms,Derived from LIS bill description,,
HB926,"Outdoor shooting of firearm on property without reasonable care; prohibition, penalty.",Firearms,Derived from LIS bill description,,
HB919,Retail Sales and Use Tax; impose firearm and ammunition tax.,Firearms,Derived from LIS bill description,,
HB916,"Concealed handgun permit; demonstrated competence, effective clause.",Firearms,Derived from LIS bill description,,
SB86,"State Police,  Department of; purchase of handguns or other weapons of certain officers.",Firearms,Derived from LIS bill description,,
HB696,"Firearm/explosive material; carrying into a bldg. owned or leased by the Commonwealth, exceptions.",Firearms,Derived from LIS bill description,,
HB49,"Pari-mutuel wagering; historical horse racing, percentage retained for distribution.","Gambling, Lotteries, Etc.",Derived from LIS bill description,,
SB159,"Pari-mutuel wagering; historical horse racing, percentage retained for distribution.","Gambling, Lotteries, Etc.",Derived from LIS bill description,,
HB32,Problem Gambling Treatment and Support Advisory Committee; appointment of additional members.,"Gambling, Lotteries, Etc.",Derived from LIS bill description,,
SB765,"Charitable gaming; definition of poker events, prohibited practices.","Gambling, Lotteries, Etc.",Derived from LIS bill description,,
HB396,"Charitable gaming; definitions, Texas Hold'em poker tournaments, minimum age to participate.","Gambling, Lotteries, Etc.",Derived from LIS bill description,,
HB791,Charitable gaming; conduct of athletic event drawings.,"Gambling, Lotteries, Etc.",Derived from LIS bill description,,
HB399,"Charitable gaming; regulations, predetermined percentage of receipts.","Gambling, Lotteries, Etc.",Derived from LIS bill description,,
SB604,"Charitable gaming; common interest communities, bingo.","Gambling, Lotteries, Etc.",Derived from LIS bill description,,
SB247,"Nursing homes; application to Commissioner of Health for change of operator license, civil penalty.",Health and Healthcare,Derived from LIS bill description,,
HB855,Medicaid; estate recoveries.,Health and Healthcare,Derived from LIS bill description,,
SB811,"Clinical nurse specialists; practice agreements, consultation requirements.",Health and Healthcare,Derived from LIS bill description,,
HB481,Prior authorization; requiring physician review for denial.,Health and Healthcare,Derived from LIS bill description,,
SJ21,Medical errors; Jt. Com. on Health Care to study options for establishing protected reporting system,Health and Healthcare,Derived from LIS bill description,,
SB593,"Health insurance; balance billing protection, emergency medical services vehicle transportation.",Health and Healthcare,Derived from LIS bill description,,
SB332,Medical marijuana; administration to terminally ill patients.,Health and Healthcare,Derived from LIS bill description,,
HB991,"Income tax, state; subtraction for volunteer firefighters and emergency medical services personnel.",Health and Healthcare,Derived from LIS bill description,,
HB309,"Temporary detention in hospital; issuance of order for testing, observation, or treatment.",Health and Healthcare,Derived from LIS bill description,,
HB75,Medical marijuana; administration to terminally ill patients.,Health and Healthcare,Derived from LIS bill description,,
HB265,"Students, certain; grants at public institutions of higher education, qualifications.",Higher Education,Derived from LIS bill description,,
HB423,"Roanoke Higher Education Authority; board of trustees, reduces membership.",Higher Education,Derived from LIS bill description,,
HB955,Certain student enrollment data; State Council of Higher Education for Virginia to annually report.,Higher Education,Derived from LIS bill description,,
SB773,"Community Colleges, State Board for; acquisition and improvement of certain property.",Higher Education,Derived from LIS bill description,,
SB445,"Motor Vehicles, Department of;  release of data to certain institutions of higher education, fee.",Higher Education,Derived from LIS bill description,,
SB272,"Firearm or explosive material; exemptions, carrying in public institutions of higher education.",Higher Education,Derived from LIS bill description,,
HJ159,Commending the Virginia Community College System.,Higher Education,Derived from LIS bill description,,
SB231,"Community Colleges and Virginia Community College System, State Board for; funding model, report.",Higher Education,Derived from LIS bill description,,
HB430,"New College Institute; reconstitution of Institute as West Piedmont Higher Education Center, etc.",Higher Education,Derived from LIS bill description,,
SJ234,Commending Virginia Western Community College.,Higher Education,Derived from LIS bill description,,
SB392,Site cleanup guidelines; residential property and other buildings used for illicit drugs.,Housing,Derived from LIS bill description,,
HB910,Comprehensive statewide housing needs assessment; review of certain parcels.,Housing,Derived from LIS bill description,,
HB953,"Future of redevelopment and housing authorities; DHCD, et al., to examine, report.",Housing,Derived from LIS bill description,,
SB577,Virginia Residential Property Disclosure Act; required disclosures for buyer beware.,Housing,Derived from LIS bill description,,
SB349,Virginia Residential Landlord and Tenant Act; pre-tenancy fees.,Housing,Derived from LIS bill description,,
SB488,Localities; statewide housing targets.,Housing,Derived from LIS bill description,,
HB174,Va. Residential Landlord & Tenant Act; early termination of rental agreement by military personnel.,Housing,Derived from LIS bill description,,
HB519,Virginia Residential Landlord and Tenant Act; definition of essential services.,Housing,Derived from LIS bill description,,
HB352,Local authority; authorized by ordinance to establish affordable housing performance grant programs.,Housing,Derived from LIS bill description,,
