member_id,MBR_NAME,party,total_vote_records,directional_votes,eligible_cross_party_votes,party_breaks,cross_party_votes,cross_party_pct,party_break_pct
H0325,Wendell S. Walker,R,1945,1882,1868,60,46,2.462526766595289,3.1880977683315623
H0328,Scott A. Wyatt,R,2192,2186,2175,95,45,2.0689655172413794,4.34583714547118
H0333,Jason S. Ballard,R,2375,2334,2315,75,41,1.7710583153347732,3.2133676092544987
H0266,Sam Rasoul,D,2215,2142,2125,66,40,1.8823529411764703,3.081232492997199
H0357,Will Davis,R,1966,1964,1956,65,38,1.9427402862985685,3.3095723014256615
H0284,"Marcia S. ""Cia"" Price",D,2515,2484,2462,105,38,1.543460601137287,4.2270531400966185
H0321,Chris S. Runion,R,1929,1916,1900,114,36,1.8947368421052633,5.949895615866389
H0398,Justin Pence,R,1820,1806,1801,101,30,1.6657412548584118,5.592469545957918
H0382,Joshua E. Thomas,D,2166,2158,2152,32,29,1.3475836431226766,1.4828544949026876
H0390,Mitchell Cornett,R,1926,1923,1912,95,26,1.3598326359832638,4.940197607904316
H0362,"Thomas A. Garrett, Jr.",R,1856,1649,1642,252,23,1.4007308160779537,15.281989084293512
H0343,Briana D. Sewell,D,2398,2391,2370,40,22,0.9282700421940928,1.6729401923881222
H0377,Delores Oates,R,1753,1743,1739,90,21,1.207590569292697,5.163511187607573
H0314,Joshua G. Cole,D,2185,2175,2143,31,21,0.979934671021932,1.4252873563218391
H0349,Jackie H. Glass,D,1996,1965,1960,36,20,1.0204081632653061,1.8320610687022902
H0386,Jessica L. Anderson,D,2144,2130,2115,21,19,0.8983451536643027,0.9859154929577465
H0383,Eric R. Zehr,R,1894,1875,1869,260,17,0.9095773140716961,13.866666666666665
H0393,Lily V. Franklin,D,1956,1949,1942,18,16,0.8238928939237898,0.9235505387378143
H0405,Garrett McGuire,D,2000,1982,1966,23,16,0.8138351983723295,1.160443995963673
H0385,JJ Singh,D,2027,2022,2009,32,16,0.7964161274265804,1.582591493570722
H0394,Karen Hamilton,R,1774,1724,1717,263,13,0.7571345369831101,15.255220417633412
H0402,Charlie Schmidt,D,1910,1882,1876,16,13,0.6929637526652452,0.8501594048884166
H0355,Laura Jane Cohen,D,2293,2162,2129,26,13,0.6106153123532174,1.2025901942645698
H0354,Katrina Callsen,D,2268,2219,2191,19,13,0.5933363760839799,0.8562415502478594
H0344,Irene Shin,D,2421,2386,2357,34,13,0.5515485787017396,1.4249790444258172
H0356,Rae Cousins,D,2618,2611,2592,18,13,0.5015432098765432,0.689391037916507
H0399,Kimberly Pope Adams,D,1928,1914,1903,15,12,0.6305832895428272,0.7836990595611284
H0375,Adele Y. McClure,D,2111,2094,2080,22,12,0.576923076923077,1.0506208213944603
H0340,Michelle Lopes Maldonado,D,2273,2262,2241,19,12,0.535475234270415,0.8399646330680812
H0305,Kathy K.L. Tran,D,2479,2470,2452,38,12,0.48939641109298526,1.5384615384615385
H0364,Timothy P. Griffin,R,1712,1627,1622,297,10,0.6165228113440198,18.254456054087278
H0403,Gretchen M. Bulova,D,2041,2037,2024,17,10,0.4940711462450593,0.8345606283750614
H0366,Phil M. Hernandez,D,2328,2315,2292,18,10,0.4363001745200698,0.7775377969762419
H0212,Betsy B. Carr,D,2419,2397,2380,16,10,0.42016806722689076,0.6675010429703796
H0388,Stacey Annie Carroll,D,2007,1829,1810,11,9,0.49723756906077343,0.6014215418261345
H0351,Holly M. Seibold,D,1997,1930,1909,21,9,0.47145102147721324,1.0880829015544042
H0370,Karen Keys-Gamarra,D,2081,1997,1975,25,9,0.4556962025316456,1.2518778167250877
H0387,"Karen R. ""Kacey"" Carnegie",D,2011,1998,1987,14,9,0.45294413688978363,0.7007007007007007
H0281,Paul E. Krizek,D,2393,2360,2345,18,9,0.3837953091684435,0.7627118644067797
H0334,Elizabeth B. Bennett-Parker,D,927,813,806,9,8,0.9925558312655087,1.107011070110701
H0336,Nadarius E. Clark,D,2333,1720,1706,24,8,0.4689331770222743,1.3953488372093024
H0380,Atoosa R. Reaser,D,2237,2148,2130,16,8,0.3755868544600939,0.74487895716946
H0372,Destiny LeVere Bolling,D,2255,2251,2232,16,8,0.35842293906810035,0.7107952021323856
H0407,Andrew Rice,R,131,127,127,9,7,5.511811023622047,7.086614173228346
H0404,Margaret A. Franklin,D,1770,1713,1696,10,7,0.41273584905660377,0.5837711617046117
H0227,Luke E. Torian,D,2353,2042,2029,18,7,0.34499753573188763,0.881488736532811
H0264,Marcus B. Simon,D,2298,2273,2259,35,7,0.3098716246126605,1.5398152221733392
H0208,Charniele L. Herring,D,2391,2371,2354,20,7,0.29736618521665253,0.8435259384226065
H0136,"Thomas C. Wright, Jr.",R,1724,1532,1529,208,6,0.3924133420536298,13.577023498694519
H0374,Marty Martinez,D,1845,1792,1784,14,6,0.336322869955157,0.78125
H0365,"Rozia A. Henson, Jr.",D,1978,1938,1916,29,6,0.31315240083507306,1.4963880288957687
H0400,Virgil Thornton,D,2090,2077,2062,7,6,0.2909796314258002,0.33702455464612424
H0317,Dan I. Helmer,D,2321,2281,2259,18,6,0.2656042496679947,0.789127575624726
H0323,Shelly A. Simonds,D,2411,2384,2368,7,6,0.2533783783783784,0.2936241610738255
H0269,"Richard C. ""Rip"" Sullivan, Jr.",D,2482,2475,2448,21,6,0.24509803921568626,0.8484848484848486
H0406,Kirk McPike,D,1000,998,995,7,5,0.5025125628140703,0.7014028056112225
H0295,Kelly K. Convirs-Fowler,D,2148,1882,1865,10,5,0.2680965147453083,0.5313496280552604
H0392,Mark C. Downey,D,2000,1991,1978,7,5,0.2527805864509606,0.3515821195379206
H0297,Elizabeth R. Guzman,D,2170,2124,2110,17,5,0.23696682464454977,0.800376647834275
H0371,Amy J. Laufer,D,2225,2203,2193,12,5,0.22799817601459188,0.5447117566954154
H0391,Lindsey Dougherty,D,1980,1929,1914,9,4,0.20898641588296762,0.46656298600311047
H0397,May Nivar,D,2027,2025,2006,6,4,0.19940179461615154,0.2962962962962963
H0389,Nicole Cole,D,2067,2049,2019,10,4,0.1981178801386825,0.4880429477794046
H0396,Leslie Chambers Mehta,D,2068,2055,2048,4,4,0.1953125,0.19464720194647203
H0239,Alfonso H. Lopez,D,2129,2103,2088,9,4,0.19157088122605362,0.42796005706134094
H0108,Vivian E. Watts,D,2154,2134,2120,15,4,0.18867924528301888,0.7029053420805998
H0219,Patrick A. Hope,D,2238,2171,2162,11,4,0.18501387604070307,0.5066789497927222
H0301,David A. Reid,D,2173,2171,2163,7,4,0.18492834026814609,0.32243205895900506
H0294,Karrie K. Delaney,D,2218,2194,2179,9,4,0.18357044515832951,0.41020966271649956
H0360,Michael B. Feggans,D,2251,2240,2219,6,4,0.18026137899954936,0.26785714285714285
H0353,Bonita G. Anthony,D,2300,2282,2257,9,4,0.17722640673460346,0.3943908851884312
H0342,Phillip A. Scott,R,2065,1992,1978,334,3,0.15166835187057634,16.76706827309237
H0173,Jeion A. Ward,D,2141,2017,2005,9,3,0.14962593516209477,0.44620723847297966
H0327,Rodney T. Willett,D,2313,2243,2231,6,3,0.1344688480502017,0.26749888542131073
H0207,Delores L. McQuinn,D,2304,2195,2186,3,2,0.09149130832570906,0.1366742596810934
H0311,Alex Q. Askew,D,2324,2322,2310,8,2,0.08658008658008658,0.34453057708871665
H0361,Debra D. Gardner,D,2046,2014,1988,2,1,0.05030181086519115,0.09930486593843098
H0172,Mark D. Sickles,D,9,9,9,0,0,0.0,0.0
H0177,David L. Bulova,D,13,13,13,0,0,0.0,0.0
H0285,"C.E. Cliff Hayes, Jr.",D,2391,2373,2359,4,0,0.0,0.1685630004214075
H0322,Don Scott,D,1680,1667,1664,1,0,0.0,0.05998800239952009
H0330,Candi Mundon King,D,9,9,9,0,0,0.0,0.0
H0206,Barry D. Knight,R,810,0,0,0,0,,
