year,committee_id,committee_name,chamber,member_id,member_name
2026,H02,Appropriations,H,H0329,Bill Wiley
2026,H02,Appropriations,H,H0350,Ellen H. McLaughlin
2026,H07,"Counties, Cities and Towns",H,H0370,Karen Keys-Gamarra
2026,H07,"Counties, Cities and Towns",H,H0404,Margaret A. Franklin
2026,H07,"Counties, Cities and Towns",H,H0405,Garrett McGuire
2026,H07,"Counties, Cities and Towns",H,H0407,Andrew Rice
2026,H07,"Counties, Cities and Towns",H,H0317,Dan I. Helmer
2026,H07,"Counties, Cities and Towns",H,H0343,Briana D. Sewell
2026,H07,"Counties, Cities and Towns",H,H0344,Irene Shin
2026,H07,"Counties, Cities and Towns",H,H0323,Shelly A. Simonds
2026,H07,"Counties, Cities and Towns",H,H0311,Alex Q. Askew
2026,H07,"Counties, Cities and Towns",H,H0355,Laura Jane Cohen
2026,H07,"Counties, Cities and Towns",H,H0374,Marty Martinez
2026,H07,"Counties, Cities and Towns",H,H0392,Mark C. Downey
2026,H07,"Counties, Cities and Towns",H,H0397,May Nivar
2026,H07,"Counties, Cities and Towns",H,H0400,Virgil Thornton
2026,H07,"Counties, Cities and Towns",H,H0386,Jessica L. Anderson
2026,H07,"Counties, Cities and Towns",H,H0389,Nicole Cole
2026,H07,"Counties, Cities and Towns",H,H0224,James W. Morefield
2026,H07,"Counties, Cities and Towns",H,H0238,M. Keith Hodges
2026,H07,"Counties, Cities and Towns",H,H0308,Joseph P. McNamara
2026,H07,"Counties, Cities and Towns",H,H0328,Scott A. Wyatt
2026,H07,"Counties, Cities and Towns",H,H0345,Anne Ferrell Tata
2026,H07,"Counties, Cities and Towns",H,H0350,Ellen H. McLaughlin
2026,H08,Courts of Justice,H,H0402,Charlie Schmidt
2026,H08,Courts of Justice,H,H0219,Patrick A. Hope
2026,H08,Courts of Justice,H,H0108,Vivian E. Watts
2026,H08,Courts of Justice,H,H0264,Marcus B. Simon
2026,H08,Courts of Justice,H,H0269,"Richard C. ""Rip"" Sullivan, Jr."
2026,H08,Courts of Justice,H,H0294,Karrie K. Delaney
2026,H08,Courts of Justice,H,H0366,Phil M. Hernandez
2026,H08,Courts of Justice,H,H0356,Rae Cousins
2026,H08,Courts of Justice,H,H0380,Atoosa R. Reaser
2026,H08,Courts of Justice,H,H0354,Katrina Callsen
2026,H08,Courts of Justice,H,H0370,Karen Keys-Gamarra
2026,H08,Courts of Justice,H,H0396,Leslie Chambers Mehta
2026,H08,Courts of Justice,H,H0387,"Karen R. ""Kacey"" Carnegie"
2026,H08,Courts of Justice,H,H0400,Virgil Thornton
2026,H08,Courts of Justice,H,H0056,Terry G. Kilgore
2026,H08,Courts of Justice,H,H0262,"James A. ""Jay"" Leftwich"
2026,H08,Courts of Justice,H,H0333,Jason S. Ballard
2026,H08,Courts of Justice,H,H0348,Wren M. Williams
2026,H08,Courts of Justice,H,H0357,Will Davis
2026,H08,Courts of Justice,H,H0401,Madison Whittle
2026,H08,Courts of Justice,H,H0398,Justin Pence
2026,H09,Education,H,H0403,Gretchen M. Bulova
2026,H09,Education,H,H0266,Sam Rasoul
2026,H09,Education,H,H0323,Shelly A. Simonds
2026,H09,Education,H,H0207,Delores L. McQuinn
2026,H09,Education,H,H0297,Elizabeth R. Guzman
2026,H09,Education,H,H0343,Briana D. Sewell
2026,H09,Education,H,H0295,Kelly K. Convirs-Fowler
2026,H09,Education,H,H0311,Alex Q. Askew
2026,H09,Education,H,H0336,Nadarius E. Clark
2026,H09,Education,H,H0356,Rae Cousins
2026,H09,Education,H,H0380,Atoosa R. Reaser
2026,H09,Education,H,H0371,Amy J. Laufer
2026,H09,Education,H,H0372,Destiny LeVere Bolling
2026,H09,Education,H,H0386,Jessica L. Anderson
2026,H09,Education,H,H0391,Lindsey Dougherty
2026,H09,Education,H,H0335,Mike A. Cherry
2026,H09,Education,H,H0345,Anne Ferrell Tata
2026,H09,Education,H,H0342,Phillip A. Scott
2026,H09,Education,H,H0362,"Thomas A. Garrett, Jr."
2026,H09,Education,H,H0383,Eric R. Zehr
2026,H09,Education,H,H0369,Hillary Pugh Kent
2026,H09,Education,H,H0401,Madison Whittle
2026,H10,Finance,H,H0403,Gretchen M. Bulova
2026,H10,Finance,H,H0404,Margaret A. Franklin
2026,H10,Finance,H,H0406,Kirk McPike
2026,H10,Finance,H,H0108,Vivian E. Watts
2026,H10,Finance,H,H0366,Phil M. Hernandez
2026,H10,Finance,H,H0269,"Richard C. ""Rip"" Sullivan, Jr."
2026,H10,Finance,H,H0353,Bonita G. Anthony
2026,H10,Finance,H,H0354,Katrina Callsen
2026,H10,Finance,H,H0361,Debra D. Gardner
2026,H10,Finance,H,H0370,Karen Keys-Gamarra
2026,H10,Finance,H,H0399,Kimberly Pope Adams
2026,H10,Finance,H,H0389,Nicole Cole
2026,H10,Finance,H,H0388,Stacey Annie Carroll
2026,H10,Finance,H,H0391,Lindsey Dougherty
2026,H10,Finance,H,H0124,R. Lee Ware
2026,H10,Finance,H,H0259,"Hyland F. ""Buddy"" Fowler, Jr."
2026,H10,Finance,H,H0308,Joseph P. McNamara
2026,H10,Finance,H,H0325,Wendell S. Walker
2026,H10,Finance,H,H0321,Chris S. Runion
2026,H10,Finance,H,H0362,"Thomas A. Garrett, Jr."
2026,H10,Finance,H,H0357,Will Davis
2026,H11,General Laws,H,H0281,Paul E. Krizek
2026,H11,General Laws,H,H0351,Holly M. Seibold
2026,H11,General Laws,H,H0212,Betsy B. Carr
2026,H11,General Laws,H,H0227,Luke E. Torian
2026,H11,General Laws,H,H0284,"Marcia S. ""Cia"" Price"
2026,H11,General Laws,H,H0264,Marcus B. Simon
2026,H11,General Laws,H,H0294,Karrie K. Delaney
2026,H11,General Laws,H,H0314,Joshua G. Cole
2026,H11,General Laws,H,H0375,Adele Y. McClure
2026,H11,General Laws,H,H0366,Phil M. Hernandez
2026,H11,General Laws,H,H0380,Atoosa R. Reaser
2026,H11,General Laws,H,H0354,Katrina Callsen
2026,H11,General Laws,H,H0297,Elizabeth R. Guzman
2026,H11,General Laws,H,H0388,Stacey Annie Carroll
2026,H11,General Laws,H,H0393,Lily V. Franklin
2026,H11,General Laws,H,H0224,James W. Morefield
2026,H11,General Laws,H,H0259,"Hyland F. ""Buddy"" Fowler, Jr."
2026,H11,General Laws,H,H0253,Terry L. Austin
2026,H11,General Laws,H,H0267,"Robert S. Bloxom, Jr."
2026,H11,General Laws,H,H0329,Bill Wiley
2026,H11,General Laws,H,H0350,Ellen H. McLaughlin
2026,H14,Labor and Commerce,H,H0336,Nadarius E. Clark
2026,H14,Labor and Commerce,H,H0353,Bonita G. Anthony
2026,H14,Labor and Commerce,H,H0355,Laura Jane Cohen
2026,H14,Labor and Commerce,H,H0356,Rae Cousins
2026,H14,Labor and Commerce,H,H0385,JJ Singh
2026,H14,Labor and Commerce,H,H0397,May Nivar
2026,H14,Labor and Commerce,H,H0173,Jeion A. Ward
2026,H14,Labor and Commerce,H,H0239,Alfonso H. Lopez
2026,H14,Labor and Commerce,H,H0269,"Richard C. ""Rip"" Sullivan, Jr."
2026,H14,Labor and Commerce,H,H0295,Kelly K. Convirs-Fowler
2026,H14,Labor and Commerce,H,H0317,Dan I. Helmer
2026,H14,Labor and Commerce,H,H0344,Irene Shin
2026,H14,Labor and Commerce,H,H0372,Destiny LeVere Bolling
2026,H14,Labor and Commerce,H,H0360,Michael B. Feggans
2026,H14,Labor and Commerce,H,H0056,Terry G. Kilgore
2026,H14,Labor and Commerce,H,H0242,Israel D. O'Quinn
2026,H14,Labor and Commerce,H,H0247,Michael J. Webert
2026,H14,Labor and Commerce,H,H0231,Tony O. Wilt
2026,H14,Labor and Commerce,H,H0321,Chris S. Runion
2026,H14,Labor and Commerce,H,H0333,Jason S. Ballard
2026,H14,Labor and Commerce,H,H0348,Wren M. Williams
2026,H15,Public Safety,H,H0361,Debra D. Gardner
2026,H15,Public Safety,H,H0383,Eric R. Zehr
2026,H15,Public Safety,H,H0386,Jessica L. Anderson
2026,H15,Public Safety,H,H0387,"Karen R. ""Kacey"" Carnegie"
2026,H15,Public Safety,H,H0390,Mitchell Cornett
2026,H15,Public Safety,H,H0394,Karen Hamilton
2026,H15,Public Safety,H,H0406,Kirk McPike
2026,H15,Public Safety,H,H0264,Marcus B. Simon
2026,H15,Public Safety,H,H0219,Patrick A. Hope
2026,H15,Public Safety,H,H0239,Alfonso H. Lopez
2026,H15,Public Safety,H,H0266,Sam Rasoul
2026,H15,Public Safety,H,H0336,Nadarius E. Clark
2026,H15,Public Safety,H,H0317,Dan I. Helmer
2026,H15,Public Safety,H,H0351,Holly M. Seibold
2026,H15,Public Safety,H,H0375,Adele Y. McClure
2026,H15,Public Safety,H,H0356,Rae Cousins
2026,H15,Public Safety,H,H0382,Joshua E. Thomas
2026,H15,Public Safety,H,H0360,Michael B. Feggans
2026,H15,Public Safety,H,H0231,Tony O. Wilt
2026,H15,Public Safety,H,H0247,Michael J. Webert
2026,H15,Public Safety,H,H0377,Delores Oates
2026,H15,Public Safety,H,H0384,Eric Phillips
2026,H18,Privileges and Elections,H,H0403,Gretchen M. Bulova
2026,H18,Privileges and Elections,H,H0284,"Marcia S. ""Cia"" Price"
2026,H18,Privileges and Elections,H,H0295,Kelly K. Convirs-Fowler
2026,H18,Privileges and Elections,H,H0281,Paul E. Krizek
2026,H18,Privileges and Elections,H,H0301,David A. Reid
2026,H18,Privileges and Elections,H,H0349,Jackie H. Glass
2026,H18,Privileges and Elections,H,H0314,Joshua G. Cole
2026,H18,Privileges and Elections,H,H0365,"Rozia A. Henson, Jr."
2026,H18,Privileges and Elections,H,H0353,Bonita G. Anthony
2026,H18,Privileges and Elections,H,H0372,Destiny LeVere Bolling
2026,H18,Privileges and Elections,H,H0385,JJ Singh
2026,H18,Privileges and Elections,H,H0395,John Chilton McAuliff
2026,H18,Privileges and Elections,H,H0387,"Karen R. ""Kacey"" Carnegie"
2026,H18,Privileges and Elections,H,H0388,Stacey Annie Carroll
2026,H18,Privileges and Elections,H,H0242,Israel D. O'Quinn
2026,H18,Privileges and Elections,H,H0262,"James A. ""Jay"" Leftwich"
2026,H18,Privileges and Elections,H,H0267,"Robert S. Bloxom, Jr."
2026,H18,Privileges and Elections,H,H0342,Phillip A. Scott
2026,H18,Privileges and Elections,H,H0347,"H. Otto Wachsmann, Jr."
2026,H18,Privileges and Elections,H,H0335,Mike A. Cherry
2026,H18,Privileges and Elections,H,H0384,Eric Phillips
2026,H18,Privileges and Elections,H,H0354,Katrina Callsen
2026,H19,Transportation,H,H0297,Elizabeth R. Guzman
2026,H19,Transportation,H,H0382,Joshua E. Thomas
2026,H19,Transportation,H,H0384,Eric Phillips
2026,H19,Transportation,H,H0396,Leslie Chambers Mehta
2026,H19,Transportation,H,H0399,Kimberly Pope Adams
2026,H19,Transportation,H,H0407,Andrew Rice
2026,H19,Transportation,H,H0294,Karrie K. Delaney
2026,H19,Transportation,H,H0301,David A. Reid
2026,H19,Transportation,H,H0173,Jeion A. Ward
2026,H19,Transportation,H,H0207,Delores L. McQuinn
2026,H19,Transportation,H,H0212,Betsy B. Carr
2026,H19,Transportation,H,H0108,Vivian E. Watts
2026,H19,Transportation,H,H0343,Briana D. Sewell
2026,H19,Transportation,H,H0349,Jackie H. Glass
2026,H19,Transportation,H,H0375,Adele Y. McClure
2026,H19,Transportation,H,H0353,Bonita G. Anthony
2026,H19,Transportation,H,H0360,Michael B. Feggans
2026,H19,Transportation,H,H0253,Terry L. Austin
2026,H19,Transportation,H,H0328,Scott A. Wyatt
2026,H19,Transportation,H,H0329,Bill Wiley
2026,H19,Transportation,H,H0242,Israel D. O'Quinn
2026,H19,Transportation,H,H0333,Jason S. Ballard
2026,H20,Rules,H,H0124,R. Lee Ware
2026,H20,Rules,H,H0219,Patrick A. Hope
2026,H20,Rules,H,H0322,Don Scott
2026,H20,Rules,H,H0317,Dan I. Helmer
2026,H20,Rules,H,H0108,Vivian E. Watts
2026,H20,Rules,H,H0173,Jeion A. Ward
2026,H20,Rules,H,H0208,Charniele L. Herring
2026,H20,Rules,H,H0212,Betsy B. Carr
2026,H20,Rules,H,H0227,Luke E. Torian
2026,H20,Rules,H,H0264,Marcus B. Simon
2026,H20,Rules,H,H0285,"C.E. Cliff Hayes, Jr."
2026,H20,Rules,H,H0269,"Richard C. ""Rip"" Sullivan, Jr."
2026,H20,Rules,H,H0305,Kathy K.L. Tran
2026,H20,Rules,H,H0056,Terry G. Kilgore
2026,H20,Rules,H,H0253,Terry L. Austin
2026,H20,Rules,H,H0247,Michael J. Webert
2026,H20,Rules,H,H0242,Israel D. O'Quinn
2026,H20,Rules,H,H0350,Ellen H. McLaughlin
2026,H21,"Communications, Technology and Innovation",H,H0362,"Thomas A. Garrett, Jr."
2026,H21,"Communications, Technology and Innovation",H,H0402,Charlie Schmidt
2026,H21,"Communications, Technology and Innovation",H,H0405,Garrett McGuire
2026,H21,"Communications, Technology and Innovation",H,H0285,"C.E. Cliff Hayes, Jr."
2026,H21,"Communications, Technology and Innovation",H,H0344,Irene Shin
2026,H21,"Communications, Technology and Innovation",H,H0239,Alfonso H. Lopez
2026,H21,"Communications, Technology and Innovation",H,H0173,Jeion A. Ward
2026,H21,"Communications, Technology and Innovation",H,H0349,Jackie H. Glass
2026,H21,"Communications, Technology and Innovation",H,H0351,Holly M. Seibold
2026,H21,"Communications, Technology and Innovation",H,H0365,"Rozia A. Henson, Jr."
2026,H21,"Communications, Technology and Innovation",H,H0370,Karen Keys-Gamarra
2026,H21,"Communications, Technology and Innovation",H,H0374,Marty Martinez
2026,H21,"Communications, Technology and Innovation",H,H0391,Lindsey Dougherty
2026,H21,"Communications, Technology and Innovation",H,H0393,Lily V. Franklin
2026,H21,"Communications, Technology and Innovation",H,H0385,JJ Singh
2026,H21,"Communications, Technology and Innovation",H,H0308,Joseph P. McNamara
2026,H21,"Communications, Technology and Innovation",H,H0136,"Thomas C. Wright, Jr."
2026,H21,"Communications, Technology and Innovation",H,H0347,"H. Otto Wachsmann, Jr."
2026,H21,"Communications, Technology and Innovation",H,H0377,Delores Oates
2026,H21,"Communications, Technology and Innovation",H,H0394,Karen Hamilton
2026,H21,"Communications, Technology and Innovation",H,H0398,Justin Pence
2026,H24,Health and Human Services,H,H0348,Wren M. Williams
2026,H24,Health and Human Services,H,H0405,Garrett McGuire
2026,H24,Health and Human Services,H,H0327,Rodney T. Willett
2026,H24,Health and Human Services,H,H0305,Kathy K.L. Tran
2026,H24,Health and Human Services,H,H0219,Patrick A. Hope
2026,H24,Health and Human Services,H,H0284,"Marcia S. ""Cia"" Price"
2026,H24,Health and Human Services,H,H0285,"C.E. Cliff Hayes, Jr."
2026,H24,Health and Human Services,H,H0266,Sam Rasoul
2026,H24,Health and Human Services,H,H0208,Charniele L. Herring
2026,H24,Health and Human Services,H,H0344,Irene Shin
2026,H24,Health and Human Services,H,H0314,Joshua G. Cole
2026,H24,Health and Human Services,H,H0365,"Rozia A. Henson, Jr."
2026,H24,Health and Human Services,H,H0361,Debra D. Gardner
2026,H24,Health and Human Services,H,H0355,Laura Jane Cohen
2026,H24,Health and Human Services,H,H0392,Mark C. Downey
2026,H24,Health and Human Services,H,H0389,Nicole Cole
2026,H24,Health and Human Services,H,H0238,M. Keith Hodges
2026,H24,Health and Human Services,H,H0325,Wendell S. Walker
2026,H24,Health and Human Services,H,H0335,Mike A. Cherry
2026,H24,Health and Human Services,H,H0342,Phillip A. Scott
2026,H24,Health and Human Services,H,H0347,"H. Otto Wachsmann, Jr."
2026,H24,Health and Human Services,H,H0390,Mitchell Cornett
2026,S01,"Agriculture, Conservation and Natural Resources",S,S0135,Elizabeth B. Bennett-Parker
2026,S01,"Agriculture, Conservation and Natural Resources",S,S0080,David W. Marsden
2026,S01,"Agriculture, Conservation and Natural Resources",S,S0068,Mark D. Obenshain
2026,S01,"Agriculture, Conservation and Natural Resources",S,S0078,Richard H. Stuart
2026,S01,"Agriculture, Conservation and Natural Resources",S,S0082,"William M. Stanley, Jr."
2026,S01,"Agriculture, Conservation and Natural Resources",S,S0101,David R. Suetterlein
2026,S01,"Agriculture, Conservation and Natural Resources",S,S0126,Danica A. Roem
2026,S01,"Agriculture, Conservation and Natural Resources",S,S0112,T. Travis Hackworth
2026,S01,"Agriculture, Conservation and Natural Resources",S,S0130,Angelia Williams Graves
2026,S01,"Agriculture, Conservation and Natural Resources",S,S0125,Russet Perry
2026,S01,"Agriculture, Conservation and Natural Resources",S,S0124,Stella G. Pekarsky
2026,S01,"Agriculture, Conservation and Natural Resources",S,S0121,Timmy French
2026,S01,"Agriculture, Conservation and Natural Resources",S,S0127,Saddam Azlan Salim
2026,S01,"Agriculture, Conservation and Natural Resources",S,S0131,Tammy Brankley Mulchi
2026,S01,"Agriculture, Conservation and Natural Resources",S,S0133,Kannan Srinivasan
2026,S02,Commerce and Labor,S,S0078,Richard H. Stuart
2026,S02,Commerce and Labor,S,S0106,Jennifer B. Boysko
2026,S02,Commerce and Labor,S,S0062,R. Creigh Deeds
2026,S02,Commerce and Labor,S,S0068,Mark D. Obenshain
2026,S02,Commerce and Labor,S,S0019,L. Louise Lucas
2026,S02,Commerce and Labor,S,S0080,David W. Marsden
2026,S02,Commerce and Labor,S,S0100,Scott A. Surovell
2026,S02,Commerce and Labor,S,S0082,"William M. Stanley, Jr."
2026,S02,Commerce and Labor,S,S0069,Ryan T. McDougle
2026,S02,Commerce and Labor,S,S0067,Mamie E. Locke
2026,S02,Commerce and Labor,S,S0096,Bill DeSteph
2026,S02,Commerce and Labor,S,S0098,Jeremy S. McPike
2026,S02,Commerce and Labor,S,S0105,Mark J. Peake
2026,S02,Commerce and Labor,S,S0113,Aaron R. Rouse
2026,S02,Commerce and Labor,S,S0114,Lamont Bagby
2026,S04,Education and Health,S,S0125,Russet Perry
2026,S04,Education and Health,S,S0019,L. Louise Lucas
2026,S04,Education and Health,S,S0067,Mamie E. Locke
2026,S04,Education and Health,S,S0101,David R. Suetterlein
2026,S04,Education and Health,S,S0105,Mark J. Peake
2026,S04,Education and Health,S,S0111,Todd E. Pillion
2026,S04,Education and Health,S,S0086,Barbara A. Favola
2026,S04,Education and Health,S,S0106,Jennifer B. Boysko
2026,S04,Education and Health,S,S0114,Lamont Bagby
2026,S04,Education and Health,S,S0122,Christopher T. Head
2026,S04,Education and Health,S,S0115,Lashrecse D. Aird
2026,S04,Education and Health,S,S0129,Schuyler T. VanValkenburg
2026,S04,Education and Health,S,S0120,Tara A. Durant
2026,S04,Education and Health,S,S0124,Stella G. Pekarsky
2026,S04,Education and Health,S,S0118,Christie New Craig
2026,S05,Finance and Appropriations,S,S0113,Aaron R. Rouse
2026,S05,Finance and Appropriations,S,S0114,Lamont Bagby
2026,S05,Finance and Appropriations,S,S0115,Lashrecse D. Aird
2026,S05,Finance and Appropriations,S,S0019,L. Louise Lucas
2026,S05,Finance and Appropriations,S,S0062,R. Creigh Deeds
2026,S05,Finance and Appropriations,S,S0067,Mamie E. Locke
2026,S05,Finance and Appropriations,S,S0069,Ryan T. McDougle
2026,S05,Finance and Appropriations,S,S0068,Mark D. Obenshain
2026,S05,Finance and Appropriations,S,S0078,Richard H. Stuart
2026,S05,Finance and Appropriations,S,S0088,Bryce E. Reeves
2026,S05,Finance and Appropriations,S,S0086,Barbara A. Favola
2026,S05,Finance and Appropriations,S,S0100,Scott A. Surovell
2026,S05,Finance and Appropriations,S,S0098,Jeremy S. McPike
2026,S05,Finance and Appropriations,S,S0106,Jennifer B. Boysko
2026,S05,Finance and Appropriations,S,S0111,Todd E. Pillion
2026,S07,Local Government,S,S0088,Bryce E. Reeves
2026,S07,Local Government,S,S0135,Elizabeth B. Bennett-Parker
2026,S07,Local Government,S,S0098,Jeremy S. McPike
2026,S07,Local Government,S,S0082,"William M. Stanley, Jr."
2026,S07,Local Government,S,S0112,T. Travis Hackworth
2026,S07,Local Government,S,S0099,"Glen H. Sturtevant, Jr."
2026,S07,Local Government,S,S0115,Lashrecse D. Aird
2026,S07,Local Government,S,S0129,Schuyler T. VanValkenburg
2026,S07,Local Government,S,S0126,Danica A. Roem
2026,S07,Local Government,S,S0130,Angelia Williams Graves
2026,S07,Local Government,S,S0120,Tara A. Durant
2026,S07,Local Government,S,S0119,"J.D. ""Danny"" Diggs"
2026,S07,Local Government,S,S0124,Stella G. Pekarsky
2026,S07,Local Government,S,S0133,Kannan Srinivasan
2026,S07,Local Government,S,S0132,"Luther Cifers, III"
2026,S08,Privileges and Elections,S,S0130,Angelia Williams Graves
2026,S08,Privileges and Elections,S,S0135,Elizabeth B. Bennett-Parker
2026,S08,Privileges and Elections,S,S0113,Aaron R. Rouse
2026,S08,Privileges and Elections,S,S0062,R. Creigh Deeds
2026,S08,Privileges and Elections,S,S0116,Emily M. Jordan
2026,S08,Privileges and Elections,S,S0134,Michael J. Jones
2026,S08,Privileges and Elections,S,S0112,T. Travis Hackworth
2026,S08,Privileges and Elections,S,S0096,Bill DeSteph
2026,S08,Privileges and Elections,S,S0117,Jennifer D. Carroll Foy
2026,S08,Privileges and Elections,S,S0120,Tara A. Durant
2026,S08,Privileges and Elections,S,S0125,Russet Perry
2026,S08,Privileges and Elections,S,S0119,"J.D. ""Danny"" Diggs"
2026,S08,Privileges and Elections,S,S0127,Saddam Azlan Salim
2026,S08,Privileges and Elections,S,S0131,Tammy Brankley Mulchi
2026,S08,Privileges and Elections,S,S0132,"Luther Cifers, III"
2026,S09,Rehabilitation and Social Services,S,S0086,Barbara A. Favola
2026,S09,Rehabilitation and Social Services,S,S0069,Ryan T. McDougle
2026,S09,Rehabilitation and Social Services,S,S0088,Bryce E. Reeves
2026,S09,Rehabilitation and Social Services,S,S0100,Scott A. Surovell
2026,S09,Rehabilitation and Social Services,S,S0096,Bill DeSteph
2026,S09,Rehabilitation and Social Services,S,S0105,Mark J. Peake
2026,S09,Rehabilitation and Social Services,S,S0122,Christopher T. Head
2026,S09,Rehabilitation and Social Services,S,S0126,Danica A. Roem
2026,S09,Rehabilitation and Social Services,S,S0134,Michael J. Jones
2026,S09,Rehabilitation and Social Services,S,S0116,Emily M. Jordan
2026,S09,Rehabilitation and Social Services,S,S0129,Schuyler T. VanValkenburg
2026,S09,Rehabilitation and Social Services,S,S0130,Angelia Williams Graves
2026,S09,Rehabilitation and Social Services,S,S0117,Jennifer D. Carroll Foy
2026,S09,Rehabilitation and Social Services,S,S0121,Timmy French
2026,S09,Rehabilitation and Social Services,S,S0127,Saddam Azlan Salim
2026,S10,Rules,S,S0101,David R. Suetterlein
2026,S10,Rules,S,S0115,Lashrecse D. Aird
2026,S10,Rules,S,S0118,Christie New Craig
2026,S10,Rules,S,S0129,Schuyler T. VanValkenburg
2026,S10,Rules,S,S0067,Mamie E. Locke
2026,S10,Rules,S,S0019,L. Louise Lucas
2026,S10,Rules,S,S0062,R. Creigh Deeds
2026,S10,Rules,S,S0080,David W. Marsden
2026,S10,Rules,S,S0086,Barbara A. Favola
2026,S10,Rules,S,S0098,Jeremy S. McPike
2026,S10,Rules,S,S0100,Scott A. Surovell
2026,S10,Rules,S,S0113,Aaron R. Rouse
2026,S10,Rules,S,S0114,Lamont Bagby
2026,S10,Rules,S,S0069,Ryan T. McDougle
2026,S10,Rules,S,S0111,Todd E. Pillion
2026,S11,Transportation,S,S0135,Elizabeth B. Bennett-Parker
2026,S11,Transportation,S,S0114,Lamont Bagby
2026,S11,Transportation,S,S0080,David W. Marsden
2026,S11,Transportation,S,S0096,Bill DeSteph
2026,S11,Transportation,S,S0101,David R. Suetterlein
2026,S11,Transportation,S,S0106,Jennifer B. Boysko
2026,S11,Transportation,S,S0112,T. Travis Hackworth
2026,S11,Transportation,S,S0134,Michael J. Jones
2026,S11,Transportation,S,S0099,"Glen H. Sturtevant, Jr."
2026,S11,Transportation,S,S0115,Lashrecse D. Aird
2026,S11,Transportation,S,S0126,Danica A. Roem
2026,S11,Transportation,S,S0119,"J.D. ""Danny"" Diggs"
2026,S11,Transportation,S,S0131,Tammy Brankley Mulchi
2026,S11,Transportation,S,S0133,Kannan Srinivasan
2026,S11,Transportation,S,S0132,"Luther Cifers, III"
2026,S12,General Laws and Technology,S,S0080,David W. Marsden
2026,S12,General Laws and Technology,S,S0124,Stella G. Pekarsky
2026,S12,General Laws and Technology,S,S0067,Mamie E. Locke
2026,S12,General Laws and Technology,S,S0088,Bryce E. Reeves
2026,S12,General Laws and Technology,S,S0098,Jeremy S. McPike
2026,S12,General Laws and Technology,S,S0111,Todd E. Pillion
2026,S12,General Laws and Technology,S,S0113,Aaron R. Rouse
2026,S12,General Laws and Technology,S,S0122,Christopher T. Head
