member_id,MBR_NAME,party,directional_votes,eligible_cross_party_votes,party_breaks,cross_party_votes,cross_party_pct,party_break_pct
H0383,Eric R. Zehr,R,1329,1316,172,10,0.7598784194528876,12.942061700526711
H0382,Joshua E. Thomas,D,1634,1625,16,9,0.5538461538461538,0.9791921664626682
H0364,Timothy P. Griffin,R,1200,1198,196,8,0.667779632721202,16.333333333333332
H0342,Phillip A. Scott,R,1466,1452,197,8,0.5509641873278237,13.437926330150068
H0266,Sam Rasoul,D,1581,1561,23,8,0.5124919923126201,1.454775458570525
H0294,Karrie K. Delaney,D,1619,1608,10,8,0.4975124378109453,0.6176652254478072
H0344,Irene Shin,D,1699,1678,24,8,0.47675804529201427,1.4125956444967627
H0295,Kelly K. Convirs-Fowler,D,1447,1427,14,7,0.4905395935529082,0.9675190048375951
H0361,Debra D. Gardner,D,1487,1481,12,7,0.4726536124240378,0.8069939475453934
H0227,Luke E. Torian,D,1502,1497,10,7,0.46760187040748163,0.6657789613848202
H0323,Shelly A. Simonds,D,1596,1574,10,7,0.44472681067344344,0.6265664160401002
H0108,Vivian E. Watts,D,1604,1597,12,7,0.4383218534752661,0.7481296758104738
H0343,Briana D. Sewell,D,1698,1683,18,7,0.41592394533571003,1.0600706713780919
H0212,Betsy B. Carr,D,1699,1690,12,7,0.41420118343195267,0.7062978222483813
H0377,Delores Oates,R,1265,1261,84,6,0.47581284694686754,6.640316205533598
H0349,Jackie H. Glass,D,1368,1363,17,6,0.4402054292002935,1.2426900584795322
H0314,Joshua G. Cole,D,1486,1475,22,6,0.4067796610169492,1.4804845222072678
H0305,Kathy K.L. Tran,D,1537,1530,38,6,0.39215686274509803,2.47234873129473
H0219,Patrick A. Hope,D,1569,1563,11,6,0.3838771593090211,0.7010834926704907
H0172,Mark D. Sickles,D,1649,1644,14,6,0.36496350364963503,0.8489993935718617
H0322,Don Scott,D,1176,1174,7,5,0.42589437819420783,0.5952380952380952
H0360,Michael B. Feggans,D,1427,1416,12,5,0.3531073446327684,0.8409250175192713
H0334,Elizabeth B. Bennett-Parker,D,1446,1437,22,5,0.3479471120389701,1.5214384508990317
H0355,Laura Jane Cohen,D,1456,1442,18,5,0.34674063800277394,1.2362637362637363
H0239,Alfonso H. Lopez,D,1488,1468,11,5,0.3405994550408719,0.739247311827957
H0177,David L. Bulova,D,1579,1569,14,5,0.3186743148502231,0.8866371120962635
H0284,"Marcia S. ""Cia"" Price",D,1591,1586,47,5,0.31525851197982346,2.95411690760528
H0208,Charniele L. Herring,D,1654,1631,11,5,0.30656039239730226,0.6650544135429262
H0207,Delores L. McQuinn,D,1359,1349,5,4,0.2965159377316531,0.36791758646063283
H0371,Amy J. Laufer,D,1445,1422,13,4,0.2812939521800281,0.8996539792387545
H0285,"C.E. Cliff Hayes, Jr.",D,1472,1469,5,4,0.2722940776038121,0.33967391304347827
H0327,Rodney T. Willett,D,1608,1601,6,4,0.24984384759525297,0.3731343283582089
H0136,"Thomas C. Wright, Jr.",R,1095,1091,132,3,0.27497708524289644,12.054794520547945
H0181,C. Todd Gilbert,R,1382,1367,164,3,0.21945866861741037,11.866859623733719
H0173,Jeion A. Ward,D,1408,1396,11,3,0.21489971346704873,0.78125
H0365,"Rozia A. Henson, Jr.",D,1424,1421,25,3,0.211118930330753,1.75561797752809
H0375,Adele Y. McClure,D,1432,1421,15,3,0.211118930330753,1.047486033519553
H0301,David A. Reid,D,1435,1432,8,3,0.20949720670391062,0.5574912891986062
H0269,"Richard C. ""Rip"" Sullivan, Jr.",D,1695,1672,6,3,0.17942583732057416,0.35398230088495575
H0380,Atoosa R. Reaser,D,1714,1694,11,3,0.1770956316410862,0.6417736289381564
H0368,Michael J. Jones,D,1231,1215,6,2,0.1646090534979424,0.487408610885459
H0353,Bonita G. Anthony,D,1343,1337,12,2,0.14958863126402394,0.8935219657483247
H0385,JJ Singh,D,1371,1368,11,2,0.14619883040935672,0.802334062727936
H0336,Nadarius E. Clark,D,1422,1403,17,2,0.14255167498218105,1.1954992967651195
H0351,Holly M. Seibold,D,1420,1410,12,2,0.14184397163120568,0.8450704225352111
H0370,Karen Keys-Gamarra,D,1444,1438,22,2,0.13908205841446453,1.5235457063711912
H0317,Dan I. Helmer,D,1499,1485,20,2,0.13468013468013468,1.33422281521014
H0366,Phil M. Hernandez,D,1565,1553,9,2,0.128783000643915,0.5750798722044729
H0354,Katrina Callsen,D,1606,1597,16,2,0.12523481527864747,0.9962640099626401
H0356,Rae Cousins,D,1728,1708,17,2,0.117096018735363,0.9837962962962963
H0374,Marty Martinez,D,1221,1218,13,1,0.08210180623973727,1.0647010647010646
H0340,Michelle Lopes Maldonado,D,1568,1554,10,1,0.06435006435006435,0.6377551020408163
H0281,Paul E. Krizek,D,1690,1676,7,1,0.05966587112171838,0.41420118343195267
H0311,Alex Q. Askew,D,1698,1679,12,1,0.05955926146515784,0.7067137809187279
H0372,Destiny LeVere Bolling,D,1489,1465,6,0,0.0,0.4029550033579583
H0381,Kannan Srinivasan,D,3,3,0,0,0.0,0.0
